Review Name,Review Text,Review Time,Rating,Sentiment,Label
duchuy Tran,"Mấy e phục vụ rất tốt, tận tình. Có điều đi vào cuối tuần không thấy có bắt số nên nguoi này tranh người kia nhìn mệt",5 năm trước,4 sao,Tích cực,1
Le Pham,Nhân viên tư vấn nhiệt tình và xử lý hồ sơ nhanh,một năm trước,4 sao,Tích cực,1
yên duong,"có số hotline để làm gì?. gọi thì kêu ra chi nhánh, rồi số tổng đài để chi?. lúc kêu ngta lắp mạng thì dạ dạ vâng vâng",4 năm trước,1 sao,Tiêu cực,0
Dong Tran duy,"rất nhiệt tình, chu đáo. rất hài lòng",một năm trước,5 sao,Tích cực,1
bienmuadong Jb,Đội ngũ nhân viên làm việc tốt. Vị trí dễ tìm. Dịch vụ internet ok.,3 năm trước,4 sao,Tích cực,1
Nguyễn Thị Thuỳ An,Truyền hình FPT nội dung rất hay. nhân viên hỗ trợ nhiệt tình và rất nhanh chóng. Rất rất hài lòng !,7 năm trước,5 sao,Tích cực,1
hai Ha,"NV phục vụ nhiệt tình, hòa nhã, giải thích rõ ràng với khách hàng",4 năm trước,5 sao,Tích cực,1
Vy Đỗ,"Thái độ phục vụ khách hàng tốt, nhân viên niềm nở, hướng dẫn tận tình",7 năm trước,5 sao,Tích cực,1
Nguyễn Ngọc Minh Anh,"Fpt telecom 198 Lâm Văn Bền, Q.7 rộng rãi, nhân viên vui vẻ, phục vụ nhanh và nhiệt tình.",4 năm trước,4 sao,Tích cực,1
Nhi Nguyễn,"Tôi mới chia tay người yêu, thật khó chịu khi ai đó cứ lèm bèm về mạng mẽo",4 năm trước,1 sao,Tiêu cực,0
Huy Pham,Ko hoàn trả cước cho KH hơn 1 tháng FPT làm ăn quá tệ,4 năm trước,1 sao,Tiêu cực,0
Huy Hồ Sỹ,Đóng tiền mạng mà như mạng như thời napoleon,2 năm trước,1 sao,Tiêu cực,0
Lê Quang Minh,"Nhân viên rất lịch sự thân thiện, rất nhiệt tình",6 năm trước,5 sao,Tích cực,1
Nguyễn Hữu Đông,"Nhân viên dễ thương, hướng dẫn tận tình",5 năm trước,5 sao,Tích cực,1
Anh Lan,Ko trả tiền cước cho khách hàng hơn 1 tháng,4 năm trước,1 sao,Tiêu cực,0
Đoàn Hoàng Dũng,Do ở trọ k có lựa chọn nào khác nên phải dùng fpt thôi,5 năm trước,1 sao,Trung tính,2
Lê Thị Kim Oanh,Nhân viên quầy FPT rất xinh và hỗ trợ nhiệt tình :),7 năm trước,5 sao,Tích cực,1
Poppy Le,"Nhân viên tư vấn,  phục vụ tốt.",6 năm trước,4 sao,Tích cực,1
Việt Lê Quốc,Nhân viên thân thiện và lịch sự.,3 năm trước,5 sao,Tích cực,1
BOBOBO BEBEBE,"Thật bẩn thỉu, thái độ làm việc chậm chạp",4 năm trước,1 sao,Tiêu cực,0
Tu Huynh,Nhân viên FPT rất nhiệt tình và thân thiện,7 năm trước,5 sao,Tích cực,1
Nam Võ,Ko hoàn trả tiền cước cho khách hàng,4 năm trước,1 sao,Tiêu cực,0
NMT Music,"Tuyệt vời, phục vụ tận tình, nhanh chóng",5 năm trước,5 sao,Tích cực,1
z luu,"Nhân viên nhiệt tình, xinh nữa 😍😍😍 …",4 năm trước,5 sao,Tích cực,1
Yen Hoang,Mỗi lần đến chờ hơn 1 tiếng mới đến lượt,5 năm trước,5 sao,Trung tính,2
Me Gau,Truyền hình FPT rất nhiều nội dung hấp dẫn,7 năm trước,5 sao,Tích cực,1
Sử Ký Giang Nam,Phục vụ rất là chu đáo,3 năm trước,5 sao,Tích cực,1
vananh nguyen,"Dịch vụ CSKH FPT rất tận tình, like like!",7 năm trước,5 sao,Tích cực,1
Long Pham,Trả tiền cước cho khách hàng đi,4 năm trước,1 sao,Trung tính,2
Trường Huỳnh Vũ,Phục vụ nhanh chóng chuyên nghiệp,3 năm trước,5 sao,Tích cực,1
Thùy Minh,Phong cách làm việc chuyên nghiệp,7 năm trước,5 sao,Trung tính,2
giau huynh,Bạn tôi bị nuốt tiền cước,4 năm trước,1 sao,Tiêu cực,0
Phan Thịnh,Trả tiền cho người ta đi,4 năm trước,1 sao,Tiêu cực,0
Huy Nguyễn,Phục vụ tốt,4 năm trước,5 sao,Tích cực,1
Nguyễn Phước Hùng Mạnh (ManhNguyen),Dịch vụ thua ở tỉnh,4 năm trước,1 sao,Tiêu cực,0
Fair Nguyễn,Nợ cước tận 1 tháng,4 năm trước,1 sao,Tiêu cực,0
Trung Hiếu Trần,Quá tuyệt vời,4 năm trước,5 sao,Tích cực,1
hoang tam dinh,Nv nhanh gọn lẹ.,5 năm trước,5 sao,Tích cực,1
Chí Bền,Truyền hình fpt là số 1,7 năm trước,5 sao,Tích cực,1
Tấn Lực Nguyễn,Quá lâu,4 năm trước,3 sao,Tiêu cực,0
nhan thanh,Khó tìm,6 năm trước,2 sao,Tiêu cực,0
nguyen vuong,Dich vụ ok,6 năm trước,4 sao,Tích cực,1
phat pham tan,Quá tệ,5 năm trước,1 sao,Tiêu cực,0
Thu Nguyen,Dịch vụ tốt,5 năm trước,5 sao,Tích cực,1
aomike Nguyen,Phụ vụ tốt,6 năm trước,4 sao,Tích cực,1
Vị Trí Tốt,Phục vụ tốt,4 năm trước,5 sao,Tích cực,1
Thuý hằng Nguyễn thi,Tốt lịch sự,5 năm trước,5 sao,Tích cực,1
Khoa Trần,Ăn chặn tiền,4 năm trước,1 sao,Tiêu cực,0
Nho Nguyen,Văn phòng đẹp !,7 năm trước,5 sao,Tích cực,1
Vũ Thái Hòa,tạm ổn,4 năm trước,4 sao,Trung tính,2
Tiet Ngoc,Thuận tiện,5 năm trước,4 sao,Tích cực,1
Tranthanhtuan0702@yahoo.com 0985430789,Tốt,4 năm trước,5 sao,Tích cực,1
M Khoa,Hẹn hoài ????,4 năm trước,1 sao,Tiêu cực,0
Nhà Đất Bình Chánh,Tốt,4 năm trước,5 sao,Tích cực,1
JAJR,Nơi phổ biến để mua điện thoại và tiện ích. Nhưng không được người dân Sài Gòn ưa chuộng,một tháng trước,5 sao,Trung tính,2
Takehito Matsuda,Bạn có thể đăng ký trực tuyến tại FPT Telecom. Lễ tân lịch sự và dễ mến.,một năm trước,4 sao,Tích cực,1
Hà Hồ Như,Dịch vụ và nhân viên tốt :),5 năm trước,5 sao,Tích cực,1
Tung Tran Thanh,Ổn,4 năm trước,4 sao,Tích cực,1
Trúc Mai,Tốt,5 năm trước,5 sao,Tích cực,1
Luyến Hoàng,Tốt,5 năm trước,5 sao,Tích cực,1
Tai Tan,hút,4 năm trước,1 sao,Tích cực,1
Tuan Nguyen Vu Manh,Dịch vụ tốt,6 năm trước,5 sao,Tích cực,1
Tình Trần,Ổn,5 năm trước,4 sao,Tích cực,1
Nguyệt Tạ Nữ Thanh,"Chưa bao giờ lên đánh giá dịch vụ ở bất cứ đâu tệ như bên này, ta nói nếu mà có thang điểm từ 0-10 thì hai tay hai chân cho 0đ nha, nhân viên thì không tư vấn rõ ràng, tổng đài thì tư vấn 1 đằng nhân viên dưới tư vấn một nẻo, vấn đề đóng dịch vụ không sử dụng nữa thì nhân viên chỉ tư vấn là anh chị đóng phí nguyên 1 tháng thì đóng dịch vụ được trong khi KH đóng dịch vụ đầu tháng, tệ hơn viettel nhiều, mạng mẽo cũng có hơn chỗ khác nhiêu đâu. Mang tiếng công ty bự mà nhân viên thì  tệ không chỗ chê! Đến việc nhân viên kỹ thuật lắp ráp cũng tệ như nhau. Nghĩ mất 1-2 khách là không ảnh hưởng nên nhân viên cứ trơ trơ ra. Dịch vụ cực tệ.  Không bao giờ sử dụng lại bên này, CHÊ",4 tháng trước,1 sao,Tiêu cực,0
Xuân Hưng,"Đạo tạo cực kì tệ, khi lắp đặt nhân viên không hề tư vấn việc huỷ trước 24 tháng phải đền bù hợp đồng. Đưa mỗi cái hợp đồng điện tử online nhỏ xíu trên điện thoại kêu ký. Xài hơn 1 năm ra hạ băng tầng cũng bắt nộp phạt, cố xài thêm 3 tháng thì tình trạng mạng quá tệ không thể sử dụng nổi thường xuyến mất mạng vào khung giờ cố định. Ra thanh lý hợp đồng nhất quyết bắt đền bù 1tr1 tiền lắp đặt nếu thanh lý trước hạn. Nhân viên nói chuyện ngang không muốn hỗ trợ, nhân viên bên cạnh thì đóng tủ ầm ầm kiểu dằn mặt khách. Khuyên mọi người đừng nên dùng mạng FPT.",3 tháng trước,1 sao,Tiêu cực,0
Huyền Linh Nguyễn,"Nhân viên tệ, đã hỏi sales là sài xong 1 năm không sài nữa cắt có mất tiền không bảo không đóng tiền xong mới cho xem hợp đồng lòi ra 2 năm trong khi chỉ làm 1 năm thợ tới lắp hết sài hết 1 năm bảo cắt thì nói này nói kia không chịu giải quyết 😃 làm ăn vậy ai dám quay lại quá tệ đừng ai để bị lừa bắt nhà mạng khác 6 tháng sau sài thì đóng chứ ai làm 2 năm mà bảo chỗ nào cũng 2 năm :))",6 tháng trước,1 sao,Tiêu cực,0
Chau Ha,"Dịch vụ tư vấn kém, chi phí cắt giảm cao, rằng buộc chính sách ko rõ ràng, nhân viên đổ lỗi qua lại, rất tệ",4 năm trước,1 sao,Tiêu cực,0
Hoàng Phúc 2/3 Danh,Nếu muốn cắt phải thông báo vì lí do. Muốn cắt là cắt sao cách làm việc thiếu tôn trọng khách hàng đến vậy sao..,8 tháng trước,1 sao,Tiêu cực,0
Trường An Nguyễn,không có ở địa chỉ này.,5 tháng trước,1 sao,Trung tính,2
Thuận Phát Cao,"Giữa đêm cuối tuần mà mất mạng, đã vậy gọi cskh cũng ko bắt máy, chắc muốn dẹp tiệm khỏi kinh doanh nữa.",một năm trước,1 sao,Tiêu cực,0
An Su,"Attitude of multiplication via phone is so bad Thái độ nhân viên tư vấn quá tệ, không biết cách chăm sóc khách hàng. Nên đào tạo lại cách làm việc của nhân viên. Cảm ơn !",4 năm trước,1 sao,Tiêu cực,0
RUY NÉEL,"Nhân viên lười nhác, khách thì ngồi đợi chờ, nhân viên thì lo mau mau sửa soạn để đi về dù chưa hết giờ làm, lo về đi dẹo trai chứ có mẹ gì quan trọng!!! Nhân viên vô ý thức, bất lịch sự.... Tri thức đã kém mà còn hành xử tệ hại nữa thì lấy gì xài",4 năm trước,2 sao,Tiêu cực,0
dat le tien,"Dịch vụ thì củ chuối,thiếu uy tín mà mấy bạn cứ tốt tốt chẳng hiểu tự comment cho nhau ak! Lắp có cái mạng Internet mà hẹn lên hẹn xuống,hứa nhăng hứa quậy.",7 năm trước,1 sao,Tiêu cực,0
Rin Cao,"Nhân viên phục vụ ở đây thái độ không vui vẻ lắm, hỏi thì nhanh rồi cúi mặt xuống bàm thôi ah",4 năm trước,3 sao,Tiêu cực,0
Squall Leonhart,"Nhân viên hỗ trợ rất thiếu chuyên nghiệp, thiếu nhiệt tình. Tổng đài hỗ trợ 19006600 trả lời qua loa, đùn đẩy, thiếu trách nhiệm.",5 năm trước,1 sao,Tiêu cực,0
Tất Thắng Nguyễn,"Các bạn nhân viên nhẹ nhàng, ân cần. Khi mình vào còn đứng lên chào. Hài lòng với nhân viên",3 năm trước,5 sao,Tích cực,1
NVV Vlogs,Mạng yếu lỗi như rác.,8 tháng trước,1 sao,Tiêu cực,0
Điểm Nguyễn hoàng,He thong ban cac mat hang dien thoai may tinh xach tay may tin ban chat luong uy tin hau mai tot,5 năm trước,4 sao,Tích cực,1
Thien Duy Tran,"nhân viên dễ thương, vui tính, đón tiếp nồng nhiệt",6 năm trước,4 sao,Tích cực,1
trinh dang,Internet fpt dịch vụ tốt. Nhân viên nhiệt tình vui vẻ,7 năm trước,5 sao,Tích cực,1
Nguyễn Minh Phụng,Nhân viên phục vụ tận tình và chu đáo,3 năm trước,5 sao,Tích cực,1
qui binh luong,"Nhân viên phục vụ tốt, chuyên nghiệp, thân thiên",5 năm trước,4 sao,Tích cực,1
Lộc Trần,Nhân viên nhiệt tình. Nói chung hài lòng,5 năm trước,4 sao,Tích cực,1
Xuan Chien Pham,"Phục vụ chuyên nghiệp, nhân viên nhiệt tình, xinh.",5 năm trước,4 sao,Tích cực,1
vananh nguyen,"Dịch vụ CSKH của FPT rất tận tình chu đáo nhé"" Like",7 năm trước,5 sao,Tích cực,1
Võ Đình Dũng,"dich vu internet hang dau viet nam. nhan vien ho tro nhiet tinh, chu dao",6 năm trước,5 sao,Tích cực,1
huynh minh truc,"Nhiệt huyết, nhanh gọn, lắng nghe ý kiến tốt",4 năm trước,5 sao,Tích cực,1
Đắc Kha Nguyễn,"Nhân viên tận tình, dịch vụ tốt",5 năm trước,5 sao,Tích cực,1
Xuan Diem,Chất lượng dịch vụ và phục vụ quá tốt.,7 năm trước,5 sao,Tiêu cực,0
ÁI QUỐC NGÔ,"nhân viên làm việc nhanh chóng , chuyên nghiệp",5 năm trước,4 sao,Tích cực,1
Nhan tran quang,Hội trường hạnh phúc ( Nhật Bản) nơi hỗ trợ sức khỏe.,5 năm trước,5 sao,Trung tính,2
Hoai Nguyen,"giá ok, chế độ bảo hành cần xem lại",4 năm trước,4 sao,Trung tính,2
Lê Anh Tuấn (Lê Tuấn),Nhà cung cấp dịch vụ viễn thông dicvufpt .vn,7 năm trước,5 sao,Trung tính,2
Minh Hoàng (QAteam),Dịch vụ cùi bắp ko đáng 1 sao,5 năm trước,1 sao,Tiêu cực,0
Phuong Nguyen Hieu,"Nhan vien giao tiep chuyen nghiep, nhiet tinh, tot",5 năm trước,4 sao,Tích cực,1
lexuan xuan,Chán nên nghỉ xài dịch vụ luôn,4 năm trước,1 sao,Tiêu cực,0
Anh Hào Trương,"Phục vụ tột, giá cả hơi cao",5 năm trước,4 sao,Trung tính,2
NGUYEN NGOC HAI,Nơi thanh toán cước phí nhanh gọn lẹ,4 năm trước,4 sao,Tích cực,1
Lê Toàn Vlog,Rat tuyet voi va nhiet tinh . Tu van ro rang,7 năm trước,5 sao,Tích cực,1
Trần Thị Thu Hằng,Phục vụ chu đáo lịch sự,4 năm trước,5 sao,Tích cực,1
Duong Vo,Nhân Viên Dễ Mến - Chuyên nghiệp,5 năm trước,5 sao,Tích cực,1
Duong Doan,Dịch vụ internet hàng đầu Việt nam,7 năm trước,5 sao,Tích cực,1
Vu HEHEMETAL,Dịch vụ hoàn hảo từ Fpt Telecom,5 năm trước,5 sao,Tích cực,1
kim thy Tran,Tẫn tình chu đáo nhiệt tình,5 năm trước,5 sao,Tích cực,1
Thanh Thế Vũ Nguyễn,Nhiệt tình và chu đáo,5 năm trước,5 sao,Tích cực,1
Nguyễn Thành Sang,Nơi thanh toán cước phí FPT,5 năm trước,4 sao,Tích cực,1
Ms Linh Daily,Tư vấn rất tận tình.,5 năm trước,5 sao,Tích cực,1
Cân Điện Tử Hoàn Khôi,Phục vụ nhanh.,4 năm trước,4 sao,Tích cực,1
48-Sơn Ngọc Yến Lớp 6A1,Tan tinh va chu dao,4 năm trước,5 sao,Tích cực,1
Đạt Nghiêm Thành,phục vụ khách hàng tốt,7 năm trước,5 sao,Tích cực,1
vantien nguyen,Chất lượng dịch vụ tốt,5 năm trước,4 sao,Tích cực,1
HO TONY,Binh thuong khi giao tiếp,4 năm trước,2 sao,Trung tính,2
lã Phú,nhân viên nhiệt tình,6 năm trước,4 sao,Tích cực,1
Phạm ngocpv.jonhny,Truyền hình FPT xem đã thiệt,7 năm trước,5 sao,Tích cực,1
Lữ Khách Vlog,rất tốt,4 năm trước,5 sao,Tích cực,1
vu hai,Tuyệt Vời,6 năm trước,5 sao,Tích cực,1
Anh Tuấn Lương,Dịch vụ tiện lợi,4 năm trước,4 sao,Tích cực,1
Có Thể Tân,"Mạng chạy nhanh, tuyệt vơi",6 năm trước,5 sao,Tích cực,1
Angel Tattoo & Beauty,Con người thân thiện,4 năm trước,5 sao,Tích cực,1
Nghjatrung Luong,Dịch vụ tốt,5 năm trước,5 sao,Tích cực,1
My Phan,Internet fpt thủ đức,7 năm trước,5 sao,Trung tính,2
Diệp Nhật Hòa,Chuẩn nhé fpt,4 năm trước,4 sao,Tích cực,1
Thức Nguyễn,dịch vụ quá kém,5 năm trước,1 sao,Tiêu cực,0
Musiciation S6,Tuyệt,4 năm trước,4 sao,Tích cực,1
Chau Ha,Chất lượng tệ,4 năm trước,1 sao,Tiêu cực,0
Trieu Tran,Hjhj,6 năm trước,4 sao,Trung tính,2
TAN TRAN MINH,bình thường,5 năm trước,4 sao,Trung tính,2
Nam Nguyen,Dịch vụ tốt,5 năm trước,5 sao,Tích cực,1
Hồng Lĩnh Đào,Bình thường,4 năm trước,3 sao,Trung tính,2
Thái Quang Vinh,Ổn,một năm trước,5 sao,Tích cực,1
Henrique Ferreira,Hợp pháp,5 năm trước,4 sao,Trung tính,2
Muoi Chu,Tốt,5 năm trước,5 sao,Tích cực,1
Hưng DTD,Đẹp,5 năm trước,4 sao,Tích cực,1
minh tan pham,Ổn,5 năm trước,4 sao,Tích cực,1
Đình Cường Viettelnet (viettelnetvn),Ổn,7 năm trước,1 sao,Tích cực,1
sunny ceyda,"Quá tệ, Có việc lắp internet mà cứ hẹn tới hẹn lui giờ lắp Ai đâu rãnh mà ngồi ở nhà đợi quài dãy??? Thiếu gì mạng để lắp 2 ngày chưa xong Fpt tệ quá. Tôi kêu bên khác xuống có 2 tiếng là xong. Quá tệ Càng ngày dịch vụ và chăm sóc khách hàng quá tệ.",9 tháng trước,1 sao,Tiêu cực,0
Nguyễn Matta,Nhân viên thiếu chuyên nghiệp về nghiệp vụ và cách ăn nói với khách hàng. Đề nghị chỉnh đốn lại.,9 tháng trước,1 sao,Tiêu cực,0
Cường Nhật,Đây chính là nơi đăng ký lắp mạng FPT ở Quận Gò Vấp uy tính và chính hãng.,2 năm trước,5 sao,Trung tính,2
le khang,Khuyến mại dụ đk đc 1 kỳ đầu rồi sau đó tăng giá lên ở các kỳ sau. Lúc dky thì nhân viên nhanh gọn tới lúc muốn tạm ngưng hợp đồng vài tháng thì cứ hành khách hàng từng chút Nv tổng đài lúc bảo tạm ngưng (có thế chấp tiền net hơn 800k của các tháng còn lại đc) lúc nv báo ko đủ phải nộp 1tr1 mới đc,2 năm trước,1 sao,Tiêu cực,0
Bảo Khanh Trương,"Làm việc chuyên nghiệp, nhân viên thân thiện!",10 tháng trước,5 sao,Tích cực,1
Emi Luis,Không đáp ứng yêu cầu của khách hàng mà toàn là gợi yêu cầu lại cho khách hàng. Đến khi mình p nói chị giải quyết nhanh cho em ạ. Em chỉ hủy thôi e sẽ trả chi phí thì họ mới chịu bắt tay vào việc :))) không bao giờ chọn FPT làm dịch vụ cap quang và Truyềb hình second time,3 năm trước,2 sao,Tiêu cực,0
Loc Phan,"Dịch vụ tệ, nhân viên thiếu kỹ năng, đổi có mỗi cái địa chỉ hành lên hành xuống trong khi chỉ cần gõ vào hệ thống là xong. Tiền thì thu 6 tháng xông giờ mỗi thủ tục đơn giản để làm giấy tờ cũng hành",4 năm trước,1 sao,Tiêu cực,0
Trung Nguyễn,"Nhân viên phục vụ tận tình chu đáo, chào hỏi đàng hoàng ... Giá cả hợp lí phù hợp với giá cả thị trường ... Chủng loại đa dạng nhiều mẫu mã đẹp ... Phù hợp với mọi tầng lớp ... Có cho trả góp ... Dịch vụ hậu mãi tốt ... Không gian thoáng đãng thoải mái ...",5 năm trước,4 sao,Tích cực,1
Nguyễn Ngọc Tiến Thành,"dịch vụ fpt khá tốt, nhân viên hướng dẫn tận tình và chu đáo. Bạn có thể đến để nhờ nhân viên tư vấn gói cước, đăng ký lắp đặt, thay đổi nơi lắp đặt, đóng tiền cước.",6 năm trước,5 sao,Tích cực,1
Hoàng Võ Tâm,"Chưa thấy nhân viên ở đâu mà tệ hại như ở đây, làm hợp đồng sai tới sai lui, hẹn giờ lắp wifi thì đi sai lịch, đòi thu tiền thêm của khách trong khi hợp đồng cố định hết chỗ nói.",3 năm trước,1 sao,Tiêu cực,0
Lee Jay,"Dịch vụ mang WiFi quá tệ , không giải quyết khắc phục cho khách hàng 👎 …",một năm trước,1 sao,Tiêu cực,0
Mạnh Hùngg,"Dịch vụ tốt, chất lượng 5 sao.",3 năm trước,5 sao,Tích cực,1
GIẶT NỆM CAOSU KYMDAN,Nhân viên vui vẻ tân tình chăm sóc khách hàng,5 năm trước,5 sao,Tích cực,1
NGUYỄN NGỌC THI,"Nhân viên lễ phép, hỗ trợ khách hàng rất tốt",2 năm trước,5 sao,Tích cực,1
tien nguyen,Nhân viên đi làm chễ.khach đến sớm chờ lâu,4 năm trước,3 sao,Tiêu cực,0
Nga Tran,"Ưu đãi rất tốt, nhân viên lịch sự",4 năm trước,5 sao,Tích cực,1
Phuoc Tung Dang,Nơi đây là địa chỉ giao dịch của nhà mạng fpt quận Gò Vấp TPHCM,6 năm trước,4 sao,Trung tính,2
Vu Tientan,"Nhân viên nhiệt tình , tư vấn chu đáo",5 năm trước,5 sao,Tích cực,1
nhu phuong vo,"Nơi tôi đăng ký internet, nhân viên rất nhiệt tình",4 năm trước,5 sao,Tích cực,1
DUONG LUY,Nhân viên nhiệt tình và vui vẻ.,4 năm trước,5 sao,Tích cực,1
nhu kieu,"Mạng như ấy ý, cứ tối lại lag",4 năm trước,1 sao,Trung tính,2
Vuong Pham,Nhân viên thân thiện nhiệt tình,3 năm trước,5 sao,Tích cực,1
Nguyễn Kiên Music,Nhân viên nhanh nhẹn dễ thương,4 năm trước,5 sao,Tích cực,1
Tung Cao,"Nhân viên vui vẻ,nhiệt tình...",6 năm trước,4 sao,Tích cực,1
Tuyết Ngân Trần Thị,phong cách văn hoá doanh nghiệp tốt,7 năm trước,5 sao,Tích cực,1
Nguyen Hong Xuyen,"truyen hinh FPT phong phu va da dang, rat thich",7 năm trước,5 sao,Tích cực,1
Ha Nguyen,Nhân viên nhiệt tình,4 năm trước,5 sao,Tích cực,1
Nguyễn Phan Minh,dịch vụ okie,4 năm trước,4 sao,Tích cực,1
Đình Nguyên,Khá tốt. Chuyên nghiệp,4 năm trước,5 sao,Tích cực,1
Hải Châu Nguyên,Ok. Có nhiều mẫu.,5 năm trước,4 sao,Tích cực,1
Bảo Tiến,Dịch vụ nhiệt tình,5 năm trước,5 sao,Tích cực,1
Ngân Thanh,nhà cung cấp tin cậy,7 năm trước,5 sao,Trung tính,2
Vo Tam,Nhân viên thân.thiện,4 năm trước,5 sao,Tích cực,1
Mai Tran,Phục vụ tận tình,4 năm trước,5 sao,Tích cực,1
Vinh IALC,Dịch vụ tốt,6 năm trước,5 sao,Tích cực,1
Ngọc Khang Cover,Tốt,6 năm trước,5 sao,Tích cực,1
vo hien,Lịch sự,4 năm trước,4 sao,Tích cực,1
Ngô Tuấn Thành,Nv đẹp,5 năm trước,4 sao,Tích cực,1
Thuộc Võ Công,CSKH Tốt,6 năm trước,5 sao,Tích cực,1
Subin Jung,Chờ lâu,5 năm trước,3 sao,Tiêu cực,0
Thuyha Dao,FPT số 1,7 năm trước,5 sao,Tích cực,1
Dương Văn Hà,Nhiệt tình,5 năm trước,5 sao,Tích cực,1
Chinh Pham ba,Lịch sự,5 năm trước,5 sao,Tích cực,1
Nguyen Hainguyen,"Mạng TV,internet",4 năm trước,4 sao,Tích cực,1
Minh Tuan Truong,Tốt,4 năm trước,5 sao,Tích cực,1
Thanh Do,Tốt,6 năm trước,4 sao,Tích cực,1
WU Healing - Người Chữa Lành Tình Yêu,Tốt,6 năm trước,5 sao,Tích cực,1
erkan ozer,Giá cả giống như ở Türkiye. Cửa hàng có nhiều sản phẩm phong phú,5 năm trước,4 sao,Tích cực,1
Tai Nguyen JP,Ổn,4 năm trước,5 sao,Tích cực,1
Bình Cao,Tốt,5 năm trước,4 sao,Tích cực,1
Cris Tân,"Lần đầu tiên mình thấy có nhà mạng có cách xử lý vô cùng tệ Khách hàng không có cầu xài nữa những vẫn bắt đóng tiền. Trong khi mình đã gọi lên trên để huỷ, và họ nói rằng gói bên họ phải sài 6 tháng mới được huỷ?!? Thế cho hỏi gặp trường hợp những nhà không có điều kiện, không muốn sài nữa, thì bắt ép người ta sài đóng tiền đủ 6 tháng hả?  NHỮNG AI ĐANG THAM KHẢO HÃY LƯA CHỌN 1 NHÀ MẠNG THÔNG MINH và né gấp cái FPT này ra nhé !",3 tháng trước,1 sao,Tiêu cực,0
Cuong Quang,FPT ở đây không có nổi 1 máy POS để quẹt thẻ cho khách,một tuần trước,1 sao,Tiêu cực,0
Phan Gia Bảo,"mạng sài ổn định rất mạnh nhà sài 7-8 thiết bị nhưng chạy vẫn ngon ko bị giật lag,đặc biệt nhân viên tư vấn nhiệt tình không thể nào ko thích nhà mạng này được.",5 tháng trước,5 sao,Tích cực,1
Bùi Thị Qúy Minh,"Tận tình, chu đáo. đa dạng sản phẩm, phù hợp mọi mức thu nhập",một tháng trước,5 sao,Tích cực,1
Tiến Trần,Chăm sóc khách hàng khá nhiệt tình nhưng chất lượng dịch vụ hơi chán. Chỉ gọi là ở mức tạm chấp nhận được. Ko nằm ở mức tốt được.,6 tháng trước,4 sao,Trung tính,2
N6- Hồng Gấm,"Trải nghiệm tốt, nhân viên nhiệt tình, thân thiện",2 tháng trước,5 sao,Tích cực,1
Uyen Thu,Tệ Lừa đao Chieu trò khon lỏi Thật mất long tin quá,3 tháng trước,1 sao,Tiêu cực,0
Hongcuc Nguyen,Truyền hình xem đc nhiều giải đá bóng ko mất phí rất hài lòng,một năm trước,5 sao,Tích cực,1
trinh binhm,"Nhân viên thân thiện, dịch vụ tốt, mạng tuyệt vời 😻 …",5 tháng trước,5 sao,Tích cực,1
dang hoa,Mạng khoẻ tốt sài rất mượt,2 tháng trước,5 sao,Tích cực,1
Phạm Đức Phú,"mạng mạnh , dịch vụ tốt , chăm sóc kh nhiệt tình",5 tháng trước,5 sao,Tích cực,1
Thi Cuc Le,Chất lượng dịch vụ tốt!,2 tháng trước,5 sao,Tích cực,1
Truong CBTD,Dịch vụ quá tuyệt vời,2 tháng trước,5 sao,Tích cực,1
Hạ Băng,Bạn nam tư vấn viên ở đây rất rất tệ. Tư vấn làm cho khách hàng mất 3-4 tháng tiền mạng. Xong chối bay chối biến lươn lẹo mặt dày nói là : “ tuỳ thời điểm mà e tư vấn cho a/c 1 cách khác nhau” Thế có khác nào 1 phút trước thế này 1 giây sau thế nọ ko,một năm trước,1 sao,Tiêu cực,0
Cuong Tran,Lắp mạng ổn định uy tín nhanh,3 tháng trước,5 sao,Tích cực,1
Nhân Huỳnh Khánh,"Chăm sóc khách hàng tốt, nhưng mà mạng yếu quá. 3 năm trước bắt gói 340k của FPT chơi Liên Minh toàn ping nhảy 3 số, giờ chuyển qua gói VNPT chỉ 290k nhưng lại chơi mượt hơn.",một năm trước,3 sao,Trung tính,2
Trung Phạm,Quá tuyệt vời luôn,2 tháng trước,5 sao,Tích cực,1
Hoài Nam Nguyễn,Uy tín và lắp đặt nhanh chóng,một năm trước,5 sao,Tích cực,1
Nam Nguyễn,Mạng yếu . 1 tháng 275k mà tối nào xem youtube bằng laptop load muốn điên não mới xem hết đc cái video. Chơi game liên quân bằng đt ip14 thì mạng có 2 vạch...giật liên tục ko load nổi.. Hết tháng 4 chuyển sang vnpt xài...no way fpt thêm 1 lần nào nữa. Tôi sẽ cho gia đình bên họ nội đăng ký vnpt hết.bye fpt,một năm trước,1 sao,Tiêu cực,0
Nhựt Dương Minh,"Mạng khoẻ, nhân viên nhiệt tình",5 tháng trước,5 sao,Tích cực,1
Loc Nguyen,"Đã sử dụng dịch vụ truyền hình và internet dịch vụ tốt nhân viên nhiệt tình, rất hài lòng",một năm trước,5 sao,Tích cực,1
Thành Võ Minh,Đã sử dụng rất hài lòng,một năm trước,5 sao,Tích cực,1
Huong Vu,tuyệt vời,2 tháng trước,5 sao,Tích cực,1
